host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,room_type,bathrooms,bedrooms,beds,price,Wifi,tv,Internet,Kitchen,Heating,Washer,Refrigerator,Dishwasher,Dryer,Microwave,Stove
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,2,199,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Brooklyn,Entire home/apt,2,3,3,120,1,0,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,3,212,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,2,177,1,1,0,1,1,0,1,0,1,0,1
within an hour,0,0,0,Brooklyn,Private room,1,2,3,599,1,1,0,0,1,1,0,0,1,0,0
within a day,0,0,0,Queens,Private room,1,1,1,114,1,0,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,0,80,1,0,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Manhattan,Private room,1.5,1,1,69,1,0,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,2,2,135,1,1,0,1,1,1,1,1,1,1,1
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,2,175,1,0,0,1,1,1,0,0,1,0,0
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,120,1,0,0,1,1,0,1,0,0,1,1
